id,bbg_ticker,asset_class,currency,point_value
TYU6 Comdty,TYU6 Comdty,future,USD,1000
FVU6 Comdty,FVU6 Comdty,future,USD,1000
RXU6 Comdty,RXU6 Comdty,future,EUR,1000
IKU6 Comdty,IKU6 Comdty,future,EUR,1000
JBU6 Comdty,JBU6 Comdty,future,JPY,100000
