id,bbg_ticker,asset_class,currency,point_value
DE0001102606 Govt,DE0001102606 Govt,bond,EUR,0.01
IT0005611741 Govt,IT0005611741 Govt,bond,EUR,0.01
FR0014001N38 Govt,FR0014001N38 Govt,bond,EUR,0.01
ES00000128E2 Govt,ES00000128E2 Govt,bond,EUR,0.01
